failure_code,hours_since_failure,retry_count,payment_method,is_subscription,success
do_not_honor,59.7,2,upi,False,0
payment_timed_out,42.77,1,netbanking,True,0
do_not_honor,17.63,0,netbanking,False,0
card_declined,53.69,0,netbanking,True,1
insufficient_funds,6.08,2,netbanking,True,0
mandate_revoked,55.76,2,upi,False,0
do_not_honor,42.48,2,card,True,0
do_not_honor,7.97,0,card,False,0
insufficient_funds,5.72,2,wallet,False,1
payment_timed_out,54.06,0,netbanking,True,0
payment_timed_out,21.09,0,netbanking,False,0
debit_instrument_blocked,64.03,1,netbanking,False,0
card_declined,54.87,2,card,False,1
do_not_honor,50.27,2,wallet,True,0
payment_timed_out,20.06,3,netbanking,False,0
insufficient_funds,51.04,3,wallet,False,0
card_declined,68.27,1,netbanking,False,0
insufficient_funds,6.59,3,netbanking,False,0
do_not_honor,23.48,0,upi,False,1
card_declined,16.9,3,netbanking,False,0
do_not_honor,28.31,1,upi,True,0
payment_timed_out,53.45,3,netbanking,False,0
mandate_revoked,34.15,3,netbanking,False,0
debit_instrument_blocked,41.09,2,netbanking,False,0
do_not_honor,22.62,3,card,False,0
insufficient_funds,10.17,0,upi,False,1
payment_timed_out,19.22,0,netbanking,False,0
insufficient_funds,61.9,2,netbanking,False,0
insufficient_funds,43.37,2,card,True,0
card_declined,27.22,0,netbanking,True,0
card_declined,56.87,2,wallet,True,1
mandate_revoked,4.64,0,netbanking,False,0
payment_timed_out,18.28,3,upi,False,0
payment_timed_out,16.57,0,wallet,False,0
payment_timed_out,70.95,1,card,False,0
insufficient_funds,50.84,3,netbanking,True,0
insufficient_funds,44.48,2,wallet,False,1
payment_timed_out,0.36,2,card,False,1
insufficient_funds,13.27,2,netbanking,False,0
card_declined,45.76,3,upi,True,0
payment_timed_out,27.34,1,wallet,True,0
do_not_honor,66.55,3,upi,True,0
card_declined,55.06,2,netbanking,False,0
payment_timed_out,32.21,3,card,False,0
do_not_honor,53.97,2,upi,True,0
do_not_honor,70.23,0,card,True,0
payment_timed_out,33.19,2,wallet,True,0
insufficient_funds,46.26,3,upi,False,1
card_declined,66.14,0,card,False,0
insufficient_funds,17.9,3,upi,False,0
insufficient_funds,63.83,0,upi,True,0
insufficient_funds,7.02,3,upi,False,0
do_not_honor,46.69,3,netbanking,False,0
card_declined,56.36,0,wallet,False,0
card_declined,44.25,2,netbanking,False,0
do_not_honor,35.68,0,wallet,False,0
payment_timed_out,44.45,2,netbanking,False,0
card_declined,10.92,3,card,False,0
insufficient_funds,15.52,0,wallet,True,0
insufficient_funds,19.43,0,upi,False,0
card_declined,43.04,1,netbanking,False,0
payment_timed_out,31.82,1,upi,False,0
card_declined,17.6,0,wallet,False,1
do_not_honor,63.56,1,upi,False,0
card_declined,26.92,1,upi,True,0
card_declined,32.11,0,card,False,0
card_declined,29.5,1,netbanking,False,0
payment_timed_out,13.1,0,upi,False,1
insufficient_funds,52.68,3,card,False,1
payment_timed_out,32.29,3,card,True,0
insufficient_funds,1.17,1,netbanking,True,0
payment_timed_out,69.41,3,wallet,True,0
do_not_honor,58.73,1,netbanking,False,0
insufficient_funds,52.1,3,netbanking,False,1
insufficient_funds,62.57,0,card,False,1
insufficient_funds,65.29,1,wallet,True,1
insufficient_funds,24.3,2,upi,False,1
card_declined,43.99,0,upi,False,0
card_declined,43.83,3,upi,True,0
do_not_honor,19.25,1,card,True,0
card_declined,15.98,1,card,False,0
payment_timed_out,8.2,1,wallet,False,1
do_not_honor,47.47,3,netbanking,True,0
insufficient_funds,56.23,0,card,True,0
insufficient_funds,54.79,3,upi,True,0
insufficient_funds,22.77,3,netbanking,True,0
card_declined,14.78,3,card,True,0
payment_timed_out,32.66,3,wallet,False,0
insufficient_funds,39.37,3,card,False,0
payment_timed_out,66.17,2,netbanking,False,0
insufficient_funds,62.99,1,wallet,False,0
card_declined,65.96,1,card,False,0
payment_timed_out,61.22,3,card,True,0
payment_timed_out,69.45,1,netbanking,True,0
payment_timed_out,33.52,2,card,True,0
card_declined,3.42,0,upi,False,0
payment_timed_out,6.02,1,card,False,0
insufficient_funds,28.1,1,upi,False,1
insufficient_funds,18.55,1,netbanking,False,1
mandate_revoked,12.24,2,upi,False,0
debit_instrument_blocked,68.63,2,card,True,0
card_declined,14.07,1,wallet,False,0
insufficient_funds,69.08,0,netbanking,False,1
mandate_revoked,54.78,2,netbanking,False,0
do_not_honor,46.15,0,netbanking,False,0
card_declined,48.67,3,card,False,0
payment_timed_out,23.87,3,netbanking,True,0
insufficient_funds,46.54,0,upi,False,0
insufficient_funds,13.44,1,netbanking,False,1
debit_instrument_blocked,67.51,0,netbanking,False,0
payment_timed_out,21.73,1,wallet,False,0
insufficient_funds,18.37,0,wallet,False,1
payment_timed_out,51.2,3,upi,False,0
card_declined,47.26,0,card,False,0
insufficient_funds,32.49,2,netbanking,False,1
do_not_honor,45.54,2,card,False,0
do_not_honor,11.48,0,netbanking,True,0
card_declined,48.48,3,wallet,False,0
payment_timed_out,19.48,0,card,False,0
card_declined,19.64,3,wallet,False,0
card_declined,11.68,2,wallet,False,0
card_declined,23.93,2,wallet,False,0
insufficient_funds,23.85,3,upi,False,1
payment_timed_out,32.7,1,card,True,0
insufficient_funds,13.71,1,upi,False,1
payment_timed_out,13.9,0,upi,False,0
payment_timed_out,39.01,3,upi,True,0
insufficient_funds,9.28,1,card,False,1
insufficient_funds,49.6,3,upi,True,0
card_declined,67.96,1,card,False,0
insufficient_funds,30.73,3,wallet,True,0
debit_instrument_blocked,64.88,3,wallet,False,0
card_declined,7.08,1,wallet,False,0
payment_timed_out,3.09,1,upi,False,1
card_declined,51.94,3,netbanking,True,1
insufficient_funds,54.79,0,netbanking,False,0
mandate_revoked,60.7,0,upi,False,0
payment_timed_out,4.09,1,wallet,False,1
do_not_honor,55.94,2,card,True,0
insufficient_funds,27.11,0,wallet,True,1
payment_timed_out,21.84,1,upi,False,0
payment_timed_out,12.46,3,netbanking,False,0
debit_instrument_blocked,71.71,0,upi,True,0
card_declined,4.58,0,wallet,False,0
payment_timed_out,59.54,1,netbanking,True,0
insufficient_funds,46.04,0,upi,False,1
payment_timed_out,52.93,0,upi,True,1
payment_timed_out,51.24,0,card,False,1
payment_timed_out,61.81,0,upi,False,0
insufficient_funds,13.23,3,upi,True,0
